Institution Name,Title IV School Code,Program Title,Program Type,Program Level,Program Format ,Program Location,Program Schedule ,Program URL,Avg Timeframe to Complete,Avg Cost,Program Category ,Program Description
BEAL COLLEGE,005204,Medical Assisting,associate,,classroom,Bangor,flexible,http://www.bealcollege.edu/index.php?id=56&sub_id=180,Variable,$196 per credit,"Healthcare, Medical Assisting","The Medical Assisting program prepares competent entry-level medical assistants for technical, clinical and administrative positions in physicians’ offices, hospitals and clinics. Medical Assistants are involved in both patient care and administrative areas of a medical practice. Graduates from this program are eligible to sit for national certifying exams, provided they meet all eligibility criteria. In addition, this program is accredited by the Commission on Accreditation of Allied Health Education Programs (www.caahep.org) upon the recommendation of the Medical Assisting Education Review Board (MAERB). "
BEAL COLLEGE,005204,Social and Human Services Assisting,associate,,classroom,Bangor,flexible,http://www.bealcollege.edu/index.php?id=56&sub_id=181,Variable,$196 per credit,Human Services,This program is designed to prepare students for the challenging and diverse field of human services. Students will be introduced to many theories and therapies designed to address challenges faced by the targeted population who need assistance.
BEAL COLLEGE,005204,Substance Abuse Counseling ,certificate,Social Work,classroom,Bangor,flexible,http://www.bealcollege.edu/index.php?id=56&sub_id=182,Variable,$196 per credit,Human Services,"Substance Abuse Counselors work to provide support to individuals and groups entering and living the recovery process. These skills can be applied in a variety of settings including day programs, counseling programs, re-entry center, detention facilities and hospitals. The courses in this program are designed to meet the requirements necessary to qualify graduates to sit for the CADC (certified alcohol and drug counselor) examination."
BEAL COLLEGE,005204,Welding Technology,associate,,classroom,Bangor,flexible,,2 years,$196 per credit,Trades,"Welding Technology is an 8 week modular based curriculum in a two-year format including courses in pipe welding, basic and advanced welding. The beginner courses offer training in metallurgy, basic welding and pipe welding techniques utilizing the shielded metal arc welding process. The advanced welding curriculum offers training in advanced welding techniques and pipe welding techniques utilizing the gas metal arc welding and gas tungsten arc welding processes. Students will also take required classes in Flux-Cored Arc Welding, Blueprint Reading, and Quality control to prepare them for employment in several welding industries. Graduates of this program enjoy employment opportunities in a variety of manufacturing and constructions industries, including but not limited to, bridge and building construction, metal fabrication, shipbuilding, power generation, petro-chemical industry, paper industry, and more. "
Husson University,002043,Accounting,associate,,classroom,Bangor,flexible,http://www.husson.edu/accounting,variable,$250 per credit,Business,"The Associate of Science in Accounting degree is designed to prepare qualified students in the analysis and techniques needed to evaluate and manage healthy and successful businesses. An accounting degree is a good choice for many people, offering highly marketable job skills and lead to a wide range of accounting careers in public accounting, private corporations, nonprofit organizations, and government."
Husson University,002043,Business Administration,associate,,classroom,Bangor,flexible,http://www.husson.edu/school-of-business,variable,$250 per credit,Business,"The Associate of Science in Business Administration degree will ensure that students have a foundation in the basic concepts of human resource and business management, marketing, finance and accounting, and the legal environment of modern business. The degree provides an avenue for immediate business administration employment and for rapid advancement to upper levels of business management."
Husson University,002043,Criminal Justice,associate,,classroom,Bangor,flexible,http://www.husson.edu/content/6107/criminal-justice,variable,$250 per credit,Legal Studies,"The Associate of Science in Criminal Justice degree at Husson University educates students in the many professions in the criminal justice and private sector security career fields. This program emphasizes professional courses and provides some basic training in microcomputing, writing, communication and math. Students in this program are eligible to attend the Maine Criminal Justice Academy’s Pre-Service Training Program, which certifies individuals to be eligible to become part-time law enforcement officers in the State of Maine, and receive six college credits as well. "
Husson University,002043,Paralegal Studies,associate,,classroom,Bangor,flexible,http://www.husson.edu/paralegalstudies,variable,$250 per credit,Legal Studies,"The Associate of Science in Paralegal Studies degree offers tomorrow’s professionals an array of research, reporting, and writing skills required in the modern legal environment. This program emphasizes professional courses and provides a foundation in accounting, microcomputing, writing and communication. This program will prepare graduates for entry-level positions and also for future advancement to leadership positions in the profession. "
Husson University,002043,Accounting and Accounting/CIS,bachelor,,classroom,Bangor,flexible,http://www.husson.edu/content/6107/criminal-justice,variable,$250 per credit,Business,"The Bachelor of Science in Accounting and Accounting/Computer Information Systems is designed to prepare qualified students in the analysis and techniques needed to evaluate and manage healthy and successful businesses. The CIS component of the program focuses on the technical knowledge, skill sets and best practices necessary to compete in today’s ever-changing computer field. This program prepares graduates and equips them with skills and knowledge that can be applied in nearly every industry."
Husson University,002043,Business Administration,bachelor,,classroom,Bangor,flexible,http://www.husson.edu/school-of-business,variable,$250 per credit,Business,"The benefits of a degree in Business Administration are numerous and powerful. Husson University’s Bachelor of Science in Business Administration program has produced a world-wide network of entrepreneurs, corporate executives and consultants for more than 100 years. With Business Administration degree you’ll not only be prepared to meet the business challenges of a global marketplace in a wide variety of industries, you’ll hold a degree valued by companies nationwide. "
Husson University,002043,Business & Technology,bachelor,,classroom,Bangor,flexible,http://www.husson.edu/content/390/business-technology,variable,$250 per credit,Business,"If you have earned an Associate Degree from a regionally accredited technical college, you may enter Husson University with 60 credits toward the baccalaureate. Examples of such programs include Automotive Technology, Heavy Equipment Technology, Building Construction Technology, Electronics Technology, Machine Tool Technology, and Welding Technology. Up to 36 credits of technical/professional education will be accepted in transfer."
Husson University,002043,Criminal Justice,bachelor,,classroom,Bangor,flexible,http://www.husson.edu/content/6107/criminal-justice,variable,$250 per credit,Legal Studies,"The Bachelor of Science in Criminal Justice prepares learners for an exciting and challenging career in the rapidly expanding fields of law enforcement, corrections, probation, and private sector fields. Undergraduate students in this program may choose from a wide range of internships and attend the Maine Criminal Justice Academy in their senior year to pursue certification to become eligible for employment as a full-time law enforcement officer upon graduation."
Husson University,002043,Paralegal Studies,bachelor,,classroom,Bangor,flexible,http://www.husson.edu/paralegalstudies,variable,$250 per credit,Legal Studies,"The Bachelor of Science in Paralegal Studies will make graduates highly competitive for careers in law offices, corporations, government and other legal related fields. This program provides both a strong core of professional courses as well as a varied liberal arts background. This program will prepare graduates for entry level positions and also for future advancement to leadership positions in the profession. After students complete two years of course work, they will be eligible to do internships in agencies, offices, courts and businesses for hands-on experiential learning in the field."
Husson University,002043,Business Administration,master,,hybrid,Bangor,flexible,http://www.husson.edu/mba,variable,$394 per credit ,Business,"The Master of Business Administration Program reflects Husson’s belief that a good education is more than a matter of theory and books. Active classrooms, courses tied closely to actual management experience, and a diverse student body representing various academic and industry backgrounds contribute to a fuller, more useful education. The program is a thirty-six credit graduate management curriculum designed to develop and strengthen skills in analysis, decision-making, and implementation. The program balances strengths in the traditional areas of accounting, finance, operations, and marketing with careful attention to the development of skills in communication, interpersonal relations, and leadership essential to effective performance in organizations."
Husson University,002043,Clinical Mental Health Counseling,master,,classroom,Bangor,flexible,http://www.husson.edu/clinical-mental-health-counseling,variable,$496 per credit ,Counseling,"The Master of Science in Clinical Mental Health Counseling combines preparation for certification and licensure in mental health counseling with rich practice experiences. The courses and programs required and suggested in the Clinical Mental Health Counseling Program were designed to reflect what the faculty believe represent necessary and appropriate educational experiences for Professional Counselors seeking national certification and state licensure as a clinical Professional Counselor (Maine: LCPC) or Certified Clinical Mental Health Counselor (CCMHC). The content and sequence of courses are guided by the Standards the National Board of Certified Counselors (NBCC), the Council for the Accreditation of Counseling and Related Educational Programs (CACREP), and the licensing requirements of the State of Maine."
Husson University,002043,Criminal Justice Administration,master,,classroom,Bangor,flexible,http://www.husson.edu/masterofscienceincriminaljustice,variable,$394 per credit ,Legal Studies,"The Master of Science in Criminal Justice Administration Program reflects Husson’s long-standing commitment to education for leadership. The Master of Science in Criminal Justice Administration Program is a thirty-six credit graduate management curriculum designed to develop and strengthen skills in analysis, decision-making, and implementation. The program balances strengths in the traditional areas of law, budgeting, and policy-making, with careful attention to the development of skills in communication, interpersonal relations, psychology and leadership essential to effective performance in organizations. "
Husson University,002043,Human Relations,master,,classroom,Bangor,flexible,http://www.husson.edu/human-relations,variable,$496 per credit ,Counseling,"The Master of Science in Human Relations Program consists of a minimum of 37 hours of non-clinical counseling courses and electives for individuals who do not plan to seek licensure or national certification. The Master of Science in Human Relations Program enhances understanding and skills in human relations for graduate students. This Master of Science in Human Relations Program is appropriate for individuals such as teachers, ministers, human resource directors, nurses, law enforcement officers, managers, student affairs personnel in college or university settings, and others who may regularly apply psychological insights in their work settings."
Husson University,002043,Nursing,master,,classroom,Bangor,flexible,http://www.husson.edu/graduate-nursing,variable,$496 per credit ,Health,"The Master of Science in Nursing from Husson University serves those who desire to study advanced nursing rooted in explicit nursing knowledge as a guide to various roles. This program is designed to help you to apply advanced knowledge theories, and research to fulfill your personal goals as well as meet the healthcare needs of society today. Nurses with an MSN can practice at a higher level of care, thus making the most of career opportunities."
Husson University,002043,School Counseling,master,,classroom,Bangor,flexible,http://www.husson.edu/school-counseling,variable,$496 per credit ,Business,The Master of Science in School Counseling is designed to prepare graduates to become professional school counselors (guidance counselor) capable of working collaboratively within K-12 school settings. This involves the application of the developmental and social sciences in assisting children and adults with psychological growth and social adjustment problems so that you may help others cope with and understand their life situations. 
Husson University,002043,Accounting,associate,,classroom,Presque Isle,flexible,http://www.husson.edu/accounting,variable,$250 per credit,Business,"The Associate of Science in Accounting degree is designed to prepare qualified students in the analysis and techniques needed to evaluate and manage healthy and successful businesses. An accounting degree is a good choice for many people, offering highly marketable job skills and lead to a wide range of accounting careers in public accounting, private corporations, nonprofit organizations, and government."
Husson University,002043,Business Administration,associate,,classroom,Presque Isle,flexible,http://www.husson.edu/school-of-business,variable,$250 per credit,Business,"The Associate of Science in Business Administration degree will ensure that students have a foundation in the basic concepts of human resource and business management, marketing, finance and accounting, and the legal environment of modern business. The degree provides an avenue for immediate business administration employment and for rapid advancement to upper levels of business management."
Husson University,002043,Accounting,bachelor,,classroom,Presque Isle,flexible,http://www.husson.edu/accounting,variable,$250 per credit,Business,"The Bachelor of Science in Accounting at Husson University prepares qualified students for successful careers in public or private organizations, such as accounting firms, corporate accounting or tax departments, not-for-profit organizations, large and small businesses, and governmental agencies. An undergraduate accounting program is designed for students with strong analytical skills, who are detail-oriented and enjoy working with numbers. By the end of this program you will have a strong foundation in accounting, which will help you to advance your career and contribute to your organization. "
Husson University,002043,Business Administration,bachelor,,classroom,Presque Isle,flexible,http://www.husson.edu/school-of-business,variable,$250 per credit,Business,"The benefits of a degree in Business Administration are numerous and powerful. Husson University’s Bachelor of Science in Business Administration program has produced a world-wide network of entrepreneurs, corporate executives and consultants for more than 100 years. With Business Administration degree you’ll not only be prepared to meet the business challenges of a global marketplace in a wide variety of industries, you’ll hold a degree valued by companies nationwide. "
Husson University,002043,Business & Technology,bachelor,,classroom,Presque Isle,flexible,http://www.husson.edu/content/390/business-technology,variable,$250 per credit,Business,"If you have earned an Associate Degree from a regionally accredited technical college, you may enter Husson University with 60 credits toward the baccalaureate. Examples of such programs include Automotive Technology, Heavy Equipment Technology, Building Construction Technology, Electronics Technology, Machine Tool Technology, and Welding Technology. Up to 36 credits of technical/professional education will be accepted in transfer."
Husson University,002043,Business Administration,master,,hybrid,Presque Isle,flexible,http://www.husson.edu/mba,variable,$394 per credit ,Business,"The Master of Business Administration Program reflects Husson’s belief that a good education is more than a matter of theory and books. Active classrooms, courses tied closely to actual management experience, and a diverse student body representing various academic and industry backgrounds contribute to a fuller, more useful education. The program is a thirty-six credit graduate management curriculum designed to develop and strengthen skills in analysis, decision-making, and implementation. The program balances strengths in the traditional areas of accounting, finance, operations, and marketing with careful attention to the development of skills in communication, interpersonal relations, and leadership essential to effective performance in organizations."
Husson University,002043,Criminal Justice Administration,master,,classroom,Presque Isle,flexible,http://www.husson.edu/masterofscienceincriminaljustice,variable,$394 per credit ,Legal Studies,"The Master of Science in Criminal Justice Administration Program reflects Husson’s long-standing commitment to education for leadership. The Master of Science in Criminal Justice Administration Program is a thirty-six credit graduate management curriculum designed to develop and strengthen skills in analysis, decision-making, and implementation. The program balances strengths in the traditional areas of law, budgeting, and policy-making, with careful attention to the development of skills in communication, interpersonal relations, psychology and leadership essential to effective performance in organizations. "
Husson University,002043,Clinical Mental Health Counseling,master,,classroom,Presque Isle,flexible,http://www.husson.edu/clinical-mental-health-counseling,variable,$496 per credit ,Counseling,"The Master of Science in Clinical Mental Health Counseling combines preparation for certification and licensure in mental health counseling with rich practice experiences. The courses and programs required and suggested in the Clinical Mental Health Counseling Program were designed to reflect what the faculty believe represent necessary and appropriate educational experiences for Professional Counselors seeking national certification and state licensure as a clinical Professional Counselor (Maine: LCPC) or Certified Clinical Mental Health Counselor (CCMHC). The content and sequence of courses are guided by the Standards the National Board of Certified Counselors (NBCC), the Council for the Accreditation of Counseling and Related Educational Programs (CACREP), and the licensing requirements of the State of Maine."
Husson University,002043,Human Relations,master,,classroom,Presque Isle,flexible,http://www.husson.edu/human-relations,variable,$496 per credit ,Counseling,"The Master of Science in Human Relations Program consists of a minimum of 37 hours of non-clinical counseling courses and electives for individuals who do not plan to seek licensure or national certification. The Master of Science in Human Relations Program enhances understanding and skills in human relations for graduate students. This Master of Science in Human Relations Program is appropriate for individuals such as teachers, ministers, human resource directors, nurses, law enforcement officers, managers, student affairs personnel in college or university settings, and others who may regularly apply psychological insights in their work settings."
Husson University,002043,Nursing,master,,classroom,Presque Isle,flexible,http://www.husson.edu/graduate-nursing,variable,$496 per credit ,Health,"The Master of Science in Nursing from Husson University serves those who desire to study advanced nursing rooted in explicit nursing knowledge as a guide to various roles. This program is designed to help you to apply advanced knowledge theories, and research to fulfill your personal goals as well as meet the healthcare needs of society today. Nurses with an MSN can practice at a higher level of care, thus making the most of career opportunities."
Husson University,002043,School Counseling,master,,classroom,Presque Isle,flexible,http://www.husson.edu/school-counseling,variable,$496 per credit ,Counseling,The Master of Science in School Counseling is designed to prepare graduates to become professional school counselors (guidance counselor) capable of working collaboratively within K-12 school settings. This involves the application of the developmental and social sciences in assisting children and adults with psychological growth and social adjustment problems so that you may help others cope with and understand their life situations. 
Husson University,002043,Accounting,associate,,classroom,South Portland,flexible,http://www.husson.edu/accounting,variable,$250 per credit,Business,"The Associate of Science in Accounting degree is designed to prepare qualified students in the analysis and techniques needed to evaluate and manage healthy and successful businesses. An accounting degree is a good choice for many people, offering highly marketable job skills and lead to a wide range of accounting careers in public accounting, private corporations, nonprofit organizations, and government."
Husson University,002043,Business Administration,associate,,classroom,South Portland,flexible,http://www.husson.edu/school-of-business,variable,$250 per credit,Business,"The Associate of Science in Business Administration degree will ensure that students have a foundation in the basic concepts of human resource and business management, marketing, finance and accounting, and the legal environment of modern business. The degree provides an avenue for immediate business administration employment and for rapid advancement to upper levels of business management."
Husson University,002043,Business Studies,associate,,classroom,South Portland,flexible,http://www.husson.edu/business-studies,variable,$250 per credit,Business,"The Associate of Science in Business Studies is designed for those seeking a career-oriented two-year course of study. You can design a program to meet your individual needs and interests and will later have the option to transfer into a four-year program at Husson. This degree program will ensure that you’re familiar with the basic concepts of human resource and business management, marketing, finance and accounting, and the legal environment of modern business. "
Husson University,002043,Criminal Justice,associate,,classroom,South Portland,flexible,http://www.husson.edu/content/6107/criminal-justice,variable,$250 per credit,Legal Studies,"The Associate of Science in Criminal Justice degree at Husson University educates students in the many professions in the criminal justice and private sector security career fields. This program emphasizes professional courses and provides some basic training in microcomputing, writing, communication and math. Students in this program are eligible to attend the Maine Criminal Justice Academy’s Pre-Service Training Program, which certifies individuals to be eligible to become part-time law enforcement officers in the State of Maine, and receive six college credits as well. "
Husson University,002043,Paralegal Studies,associate,,classroom,South Portland,flexible,http://www.husson.edu/paralegalstudies,variable,$250 per credit,Legal Studies,"The Associate of Science in Paralegal Studies degree offers tomorrow’s professionals an array of research, reporting, and writing skills required in the modern legal environment. This program emphasizes professional courses and provides a foundation in accounting, microcomputing, writing and communication. This program will prepare graduates for entry-level positions and also for future advancement to leadership positions in the profession. "
Husson University,002043,Accounting,bachelor,,classroom,South Portland,flexible,http://www.husson.edu/accounting,variable,$250 per credit,Business,"The Bachelor of Science in Accounting at Husson University prepares qualified students for successful careers in public or private organizations, such as accounting firms, corporate accounting or tax departments, not-for-profit organizations, large and small businesses, and governmental agencies. An undergraduate accounting program is designed for students with strong analytical skills, who are detail-oriented and enjoy working with numbers. By the end of this program you will have a strong foundation in accounting, which will help you to advance your career and contribute to your organization. "
Husson University,002043,Business Administration,bachelor,,classroom,South Portland,flexible,http://www.husson.edu/school-of-business,variable,$250 per credit,Business,"The benefits of a degree in Business Administration are numerous and powerful. Husson University’s Bachelor of Science in Business Administration program has produced a world-wide network of entrepreneurs, corporate executives and consultants for more than 100 years. With Business Administration degree you’ll not only be prepared to meet the business challenges of a global marketplace in a wide variety of industries, you’ll hold a degree valued by companies nationwide. "
Husson University,002043,Criminal Justice,bachelor,,classroom,South Portland,flexible,http://www.husson.edu/content/6107/criminal-justice,variable,$250 per credit,Legal Studies,"The Bachelor of Science in Criminal Justice prepares learners for an exciting and challenging career in the rapidly expanding fields of law enforcement, corrections, probation, and private sector fields. Undergraduate students in this program may choose from a wide range of internships and attend the Maine Criminal Justice Academy in their senior year to pursue certification to become eligible for employment as a full-time law enforcement officer upon graduation."
Husson University,002043,Elementary Education,bachelor,,classroom,South Portland,flexible,http://www.husson.edu/elementary-education,variable,$250 per credit,Education,"The Bachelor of Science in Elementary Education prepares teachers for education jobs with children in kindergarten through sixth grade. This program provides the necessary training for persons with a passion for imparting knowledge to children, usually from kindergarten to sixth or eighth grade, depending on the prevailing education system. "
Husson University,002043,Paralegal Studies,bachelor,,classroom,South Portland,flexible,http://www.husson.edu/paralegalstudies,variable,$250 per credit,Legal Studies,"The Bachelor of Science in Paralegal Studies will make graduates highly competitive for careers in law offices, corporations, government and other legal related fields. This program provides both a strong core of professional courses as well as a varied liberal arts background. This program will prepare graduates for entry level positions and also for future advancement to leadership positions in the profession. After students complete two years of course work, they will be eligible to do internships in agencies, offices, courts and businesses for hands-on experiential learning in the field."
Husson University,002043,Business & Technology,bachelor,,classroom,South Portland,flexible,http://www.husson.edu/content/390/business-technology,variable,$250 per credit,Business,"If you have earned an Associate Degree from a regionally accredited technical college, you may enter Husson University with 60 credits toward the baccalaureate. Examples of such programs include Automotive Technology, Heavy Equipment Technology, Building Construction Technology, Electronics Technology, Machine Tool Technology, and Welding Technology. Up to 36 credits of technical/professional education will be accepted in transfer."
Husson University,002043,Alternative Teacher Certification,certificate,credit,classroom,South Portland,flexible,http://www.husson.edu/alternative-teacher-certification,variable,$250 per credit,Education,"The Husson’s School of Education offers four programs for Alternative Teacher Certification for those who already possess a baccalaureate degree in a field other than education but who wish to teach the following: Elementary Education, Secondary Education – English, Secondary Education - Life Science, Secondary Education - Physical Science."
Husson University,002043,Business Administration,master,,hybrid,South Portland,flexible,http://www.husson.edu/mba,variable,$394 per credit ,Business,"The Master of Business Administration Program reflects Husson’s belief that a good education is more than a matter of theory and books. Active classrooms, courses tied closely to actual management experience, and a diverse student body representing various academic and industry backgrounds contribute to a fuller, more useful education. The program is a thirty-six credit graduate management curriculum designed to develop and strengthen skills in analysis, decision-making, and implementation. The program balances strengths in the traditional areas of accounting, finance, operations, and marketing with careful attention to the development of skills in communication, interpersonal relations, and leadership essential to effective performance in organizations."
Husson University,002043,Criminal Justice Administration,master,,classroom,South Portland,flexible,http://www.husson.edu/masterofscienceincriminaljustice,variable,$394 per credit ,Legal Studies,"The Master of Science in Criminal Justice Administration Program reflects Husson’s long-standing commitment to education for leadership. The Master of Science in Criminal Justice Administration Program is a thirty-six credit graduate management curriculum designed to develop and strengthen skills in analysis, decision-making, and implementation. The program balances strengths in the traditional areas of law, budgeting, and policy-making, with careful attention to the development of skills in communication, interpersonal relations, psychology and leadership essential to effective performance in organizations. "
Husson University,002043,Clinical Mental Health Counseling,master,,classroom,South Portland,flexible,http://www.husson.edu/clinical-mental-health-counseling,variable,$496 per credit ,Counseling,"The Master of Science in Clinical Mental Health Counseling combines preparation for certification and licensure in mental health counseling with rich practice experiences. The courses and programs required and suggested in the Clinical Mental Health Counseling Program were designed to reflect what the faculty believe represent necessary and appropriate educational experiences for Professional Counselors seeking national certification and state licensure as a clinical Professional Counselor (Maine: LCPC) or Certified Clinical Mental Health Counselor (CCMHC). The content and sequence of courses are guided by the Standards the National Board of Certified Counselors (NBCC), the Council for the Accreditation of Counseling and Related Educational Programs (CACREP), and the licensing requirements of the State of Maine."
Husson University,002043,Human Relations,master,,classroom,South Portland,flexible,http://www.husson.edu/human-relations,variable,$496 per credit ,Counseling,"The Master of Science in Human Relations Program consists of a minimum of 37 hours of non-clinical counseling courses and electives for individuals who do not plan to seek licensure or national certification. The Master of Science in Human Relations Program enhances understanding and skills in human relations for graduate students. This Master of Science in Human Relations Program is appropriate for individuals such as teachers, ministers, human resource directors, nurses, law enforcement officers, managers, student affairs personnel in college or university settings, and others who may regularly apply psychological insights in their work settings."
Husson University,002043,Nursing,master,,classroom,South Portland,flexible,http://www.husson.edu/graduate-nursing,variable,$496 per credit ,Health,"The Master of Science in Nursing from Husson University serves those who desire to study advanced nursing rooted in explicit nursing knowledge as a guide to various roles. This program is designed to help you to apply advanced knowledge theories, and research to fulfill your personal goals as well as meet the healthcare needs of society today. Nurses with an MSN can practice at a higher level of care, thus making the most of career opportunities."
Husson University,002043,School Counseling,master,,classroom,South Portland,flexible,http://www.husson.edu/school-counseling,variable,$496 per credit ,Counseling,The Master of Science in School Counseling is designed to prepare graduates to become professional school counselors (guidance counselor) capable of working collaboratively within K-12 school settings. This involves the application of the developmental and social sciences in assisting children and adults with psychological growth and social adjustment problems so that you may help others cope with and understand their life situations. 
Husson University,002043,Paralegal Studies,certificate,credit,classroom,South Portland,flexible,http://www.husson.edu/paralegalstudies,variable,$250 per credit,Legal Studies,"The Certificate Program in Paralegal Studies from Husson University offers a unique mix of legal theory and practical skills applications designed to prepare you for a smooth transition from the classroom to the office ranging from law firms, corporate legal departments, banks, insurance companies and government agencies. Candidates for a Paralegal Certificate are required to complete a minimum of 36 semester credit hours maintaining a 2.0 overall cumulative grade-point average. Transfer students must complete a minimum of fifteen (15) credit hours in Husson paralegal studies courses. "
Saint Joseph’s College Online,002051,General Studies: Accounting Specialization,bachelor,,online,N/A,Flexible,http://online.sjcme.edu/bachelor-of-science-accounting-specialization.php,Variable,$285 per credit,"General Studies, Accounting",This degree completion provides students with a solid foundation in accounting practices.
